"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_ss"
"12/12/2018 18:16:24:777 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [pick-time] of robots","min [pick-time] of robots","max [pick-time] of robots","mean [participation] of robots","min [participation] of robots","max [participation] of robots"
"85","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","462","462","462","12.5","12","14"
"86","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","554","554","554","12.75","11","15"
"87","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","7","2000","411","411","411","12.25","12","13"
"88","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","458","458","458","12.25","11","14"
"89","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","432","432","432","12.5","10","15"
"90","2","52","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","536","536","536","12.5","11","14"
"91","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","588","588","588","13.5","13","14"
"92","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","589","589","589","13.5","12","14"
"93","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","464","464","464","13.75","12","16"
"94","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","560","560","560","13.5","12","15"
"95","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","542","542","542","13.25","13","14"
"96","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","559","559","559","13.25","12","14"
"97","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","7","2000","593","593","593","13.25","12","15"
"98","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","419","419","419","13.25","10","18"
"99","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","511","511","511","13.5","12","15"
"101","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","465","465","465","14.5","14","15"
"100","2","56","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","641","641","641","13.5","13","15"
"102","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","610","610","610","14.75","12","16"
"103","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","546","546","546","14.5","12","19"
"104","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","441","441","441","14.75","13","17"
"105","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","490","490","490","14.5","13","18"
"106","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","506","506","506","14.25","12","17"
"107","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","7","2000","505","505","505","14.5","12","16"
"108","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","664","664","664","14.5","14","15"
"109","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","710","710","710","14","13","16"
"110","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","460","460","460","14.5","14","16"
